data,real,naive,sarima,ml
2021-09-01,1.16,0.87,0.8286183073115353,0.5366112736144854
2021-10-01,1.25,1.16,1.140071744730383,0.614117391004716
2021-11-01,0.95,1.25,1.178306621787053,0.9062092236334747
2021-12-01,0.73,0.95,0.8981699193309024,0.6507321030892537
2022-01-01,0.54,0.73,0.5504573996284438,1.2266629242476534
2022-02-01,1.01,0.54,0.5544817559558283,0.5363214728757794
2022-03-01,1.62,1.01,1.00459322896791,0.6570146095691656
2022-04-01,1.06,1.62,1.5231228965413628,1.22567904142219
2022-05-01,0.47,1.06,0.9613363605740505,0.6788359874818248
2022-06-01,0.67,0.47,0.3484383738305011,0.48831042407834124
2022-07-01,-0.68,0.67,0.7060274261020593,0.5846668763985707
2022-08-01,-0.36,-0.68,-0.8196264745346569,0.3518797001536578
2022-09-01,-0.29,-0.36,-0.2315437313853391,0.3631099261078134
2022-10-01,0.59,-0.29,-0.25593025100861094,0.3751642442267996
2022-11-01,0.41,0.59,0.6425463691176933,0.5808345783405012
2022-12-01,0.62,0.41,0.33721688236982683,0.4924727848249606
2023-01-01,0.53,0.62,0.5884850300144986,0.5324353603917101
2023-02-01,0.84,0.53,0.5327317341276516,0.5493626537576239
2023-03-01,0.71,0.84,0.8805990326085483,0.6468208799610156
2023-04-01,0.61,0.71,0.5853904315532845,0.5869708878352459
2023-05-01,0.23,0.61,0.5230032882573508,0.48006057488740594
2023-06-01,-0.08,0.23,0.19173927017564926,0.45289985580693115
2023-07-01,0.12,-0.08,-0.2266142044578563,0.3640649383839476
2023-08-01,0.23,0.12,0.1826210628267573,0.3277203854441168
2023-09-01,0.26,0.23,0.22560839819370437,0.40807997004640056
2023-10-01,0.24,0.26,0.3250223643956674,0.4093581236681622
2023-11-01,0.28,0.24,0.1953265263006997,0.41786267449775033
2023-12-01,0.56,0.28,0.2910910826715599,0.41094015627400426
2024-01-01,0.42,0.56,0.5468963659336292,0.5178943435413355
2024-02-01,0.83,0.42,0.4067452077570553,0.4701004026015108
2024-03-01,0.16,0.83,0.8229528086850272,0.5908439882851794
2024-04-01,0.38,0.16,0.04758596696132682,0.3769832500121148
2024-05-01,0.46,0.38,0.36108203544059586,0.4255050211621475
2024-06-01,0.21,0.46,0.41221650102110297,0.43800507816017087
2024-07-01,0.38,0.21,0.172282468554372,0.3826240348490522
2024-08-01,-0.02,0.38,0.39189196772816115,0.4221571880667118
2024-09-01,0.44,-0.02,-0.07002278170136321,0.2871631466134345
2024-10-01,0.56,0.44,0.4832690459975976,0.44021322271803764
2024-11-01,0.39,0.56,0.5302964397356109,0.5372890481644956
2024-12-01,0.52,0.39,0.36975150510353,0.46379084688936106
2025-01-01,0.16,0.52,0.4901006440622032,0.5359644803521443
2025-02-01,1.31,0.16,0.1464219482600158,0.4535844989723708
2025-03-01,0.56,1.31,1.3106763513545314,0.741830856700623
2025-04-01,0.43,0.56,0.43300195210872167,0.47421744014437966
2025-05-01,0.26,0.43,0.40227365931006404,0.4655998045610341
2025-06-01,0.24,0.26,0.1976005437067636,0.43299895855192455
2025-07-01,0.26,0.24,0.24471760273770565,0.39658125041002024
2025-08-01,-0.11,0.26,0.20860807125775213,0.38294434717635223
2025-09-01,0.48,-0.11,-0.10221160259329515,0.27434146324984887
2025-10-01,0.09,0.48,0.5372105052769122,0.39562680426019947
2025-11-01,0.18,0.09,0.010110830861029456,0.37483788281471964
2025-12-01,0.33,0.18,0.20699027587532748,0.41536079391419223
2026-01-01,0.33,0.33,0.2903068740619519,0.505204228915723
2026-02-01,0.7,0.33,0.42138872358259116,0.49425596904716773
2026-03-01,0.88,0.7,0.6173811819927808,0.6021257765581391
2026-04-01,0.67,0.88,0.8404952323953181,0.5402238265429993
2026-05-01,0.58,0.67,0.5814914718166989,0.53302549826144
2026-06-01,0.16,0.58,0.5316188900197164,0.4795103313950171
2026-07-01,0.07,0.16,0.10158861669032661,0.434886963058981
2026-08-01,-0.32,0.07,0.02442863794438058,0.32856863066249337
